#{"t_start": 1588326508.1600094, "env_id": "MiniGrid-DistShift1-v0"}
r,l,t
0,252,774.951342
0,252,775.444638
0,252,775.940894
0,252,776.429582
0,252,777.085762
0,252,777.575119
0,252,778.071637
0,252,778.571126
0,252,779.266997
0,252,779.759706
0,252,780.260422
0,252,780.76268
0,252,781.430645
0,252,781.935104
0,252,782.440372
0,252,782.941669
0,252,783.622104
0,252,784.123435
0,252,784.624744
0,252,785.138671
0,252,785.83489
0,252,786.332473
0,252,786.837657
0,252,787.340636
0,252,788.011406
0,252,788.500685
0,252,789.008583
0,252,789.508352
0,252,790.188611
0,252,790.691618
0,252,791.195869
0,252,791.702637
0,252,792.223829
0,252,792.92252
0,252,793.419929
0,252,793.921982
0,252,794.413121
0,252,795.095705
0,252,795.594085
0,252,796.089538
0,252,796.58217
0,252,797.273003
0,252,797.768604
0,252,798.26678
0,252,798.765088
0,252,799.457247
0,252,799.952359
0,252,800.455621
0,252,800.952734
0,252,801.624888
0,252,802.129463
0,252,802.629481
0,252,803.126568
0,252,803.784696
0,252,804.279425
0,252,804.783205
0,252,805.269802
0,252,805.979464
0,252,806.468297
0,252,806.972835
0,252,807.474291
0,252,808.155521
0,252,808.654211
0,252,809.159514
0,252,809.666195
0,252,810.329783
0,252,810.829587
0,252,811.328598
0,252,811.822711
0,252,812.521162
0,252,813.014459
0,252,813.50879
0,252,814.004241
0,252,814.673085
0,252,815.179448
0,252,815.684675
0,252,816.181953
0,252,816.847098
0,252,817.350364
0,252,817.852557
0,252,818.353249
0,252,819.068863
0,252,819.574147
0,252,820.070688
0,252,820.568501
0,252,821.242932
0,252,821.740646
0,252,822.252923
0,123,822.487213
0,252,822.991678
0,252,823.662851
0,252,824.168116
0,252,824.67212
0,252,825.16893
0,252,825.862322
0,252,826.3617
0,252,826.859488
0,252,827.361762
0,252,828.024939
0,252,828.523918
0,252,829.025517
0,252,829.530978
0,252,830.192859
0,252,830.694036
0,252,831.193682
0,252,831.699753
0,252,832.401464
0,252,832.902137
0,252,833.408554
0,252,833.915926
0,252,834.583172
0,252,835.092225
